Seats,CRN,SUBJ,CRSE,TITLE,CR HRS,XLST CAP,ENR,LINK,XLST GROUP,SCHED TYPE,,CAMPUS,INSM,PRINT?,TIME,DAYS,BLDG,ROOM,OVERRIDE,INSTRUCTOR,,OVERALL CAP,OVERALL ENR,,,PTRM START,PTRM END,WL CAP,WL,WL REMAIN,NOTES,COMMENTS,COLL
"16","23389","CS","121G","INTR INFO LITERACY & RSRCH (B)","3","30","8","B2","SC055","30","I","E","ASYN","Y","HOURS ARR","","WEB5","","","GUPTA,AJAY","","40","24","1","ASYN","06-JAN-24","22-APR-24","20","0","20"
"16","23390","CS","121G","INTR INFO LITERACY & RSRCH (B)","3","20","1","C2","SC055","30","I","H","ASYN","Y","HOURS ARR","","WEB7","","","GUPTA,AJAY","","40","24","1","ASYN","06-JAN-24","22-APR-24","20","0","20"
"1","23391","CS","121G","INTR INFO LIT RSCH SCI REC (B)","0","8","7","A3","SC059","C","I","B","SYNC","Y"," 600- 650PM","W","WC2","","","GUPTA,AJAY","","20","11","1","SYNC","06-JAN-24","22-APR-24","20","0","20"
"9","23392","CS","121G","INTR INFO LIT RSCH SCI REC (B)","0","15","4","B3","SC059","C","I","E","SYNC","Y"," 600- 650PM","W","WC5","","O","GUPTA,AJAY","","20","11","1","SYNC","06-JAN-24","22-APR-24","20","0","20"
"9","23393","CS","121G","INTR INFO LIT RSCH SCI REC (B)","0","10","0","C3","SC059","C","I","H","SYNC","Y"," 600- 650PM","W","WC7","","O","GUPTA,AJAY","","20","11","1","SYNC","06-JAN-24","22-APR-24","20","0","20"
"0","23631","CS","121G","INTR INFO LIT RSCH SCI REC (B)","0","8","8","A3","SC057","C","I","B","SYNC","Y"," 600- 650PM","M","WC2","","","GUPTA,AJAY","","20","13","1","SYNC","06-JAN-24","22-APR-24","20","0","20"
"7","23632","CS","121G","INTR INFO LIT RSCH SCI REC (B)","0","15","4","B3","SC057","C","I","E","SYNC","Y"," 600- 650PM","M","WC5","","O","GUPTA,AJAY","","20","13","1","SYNC","06-JAN-24","22-APR-24","20","0","20"
"7","23633","CS","121G","INTR INFO LIT RSCH SCI REC (B)","0","20","1","C3","SC057","C","I","H","SYNC","Y"," 600- 650PM","M","WC7","","O","GUPTA,AJAY","","20","13","1","SYNC","06-JAN-24","22-APR-24","20","0","20"
"1","24116","CS","121G","INTR INFO LITERACY & RSRCH (C)","3","10","9","D2","SC060","30","I","B","ASYN","Y","HOURS ARR","","WEB2","","","SYMPSON,WILLIAM","","40","14","1","ASYN","06-JAN-24","22-APR-24","20","0","20"
"26","24117","CS","121G","INTR INFO LITERACY & RSRCH (C)","3","30","4","E2","SC060","30","I","E","ASYN","Y","HOURS ARR","","WEB5","","","SYMPSON,WILLIAM","","40","14","1","ASYN","06-JAN-24","22-APR-24","20","0","20"
"19","24118","CS","121G","INTR INFO LITERACY & RSRCH (C)","3","20","1","F2","SC060","30","I","H","ASYN","Y","HOURS ARR","","WEB7","","","SYMPSON,WILLIAM","","40","14","1","ASYN","06-JAN-24","22-APR-24","20","0","20"
"0","24119","CS","121G","INTR INFO LIT RSCH SCI REC (C)","0","10","10","D3","SC056","C","I","B","SYNC","Y"," 725- 815PM","M","WC2","","","SYMPSON,WILLIAM","","20","15","1","SYNC","06-JAN-24","22-APR-24","20","0","20"
